"","state","state_name"
"1","AK","Alaska"
"2","AL","Alabama"
"3","AR","Arkansas"
"4","AS","American Samoa"
"5","AZ","Arizona"
"6","CA","California"
"7","CO","Colorado"
"8","CT","Connecticut"
"9","DC","District of Columbia"
"10","DE","Delaware"
"11","FL","Florida"
"12","GA","Georgia"
"13","GU","Guam"
"14","HI","Hawaii"
"15","IA","Iowa"
"16","ID","Idaho"
"17","IL","Illinois"
"18","IN","Indiana"
"19","KS","Kansas"
"20","KY","Kentucky"
"21","LA","Louisiana"
"22","MA","Massachusetts"
"23","MD","Maryland"
"24","ME","Maine"
"25","MI","Michigan"
"26","MN","Minnesota"
"27","MO","Missouri"
"28","MP","Northern Mariana Islands"
"29","MS","Mississippi"
"30","MT","Montana"
"31","NC","North Carolina"
"32","ND","North Dakota"
"33","NE","Nebraska"
"34","NH","New Hampshire"
"35","NJ","New Jersey"
"36","NM","New Mexico"
"37","NV","Nevada"
"38","NY","New York"
"39","OH","Ohio"
"40","OK","Oklahoma"
"41","OR","Oregon"
"42","PA","Pennsylvania"
"43","PR","Puerto Rico"
"44","RI","Rhode Island"
"45","SC","South Carolina"
"46","SD","South Dakota"
"47","TN","Tennessee"
"48","TX","Texas"
"49","UT","Utah"
"50","VA","Virginia"
"51","VI","US Virgin Islands"
"52","VT","Vermont"
"53","WA","Washington"
"54","WI","Wisconsin"
"55","WV","West Virginia"
"56","WY","Wyoming"
